name,ra,dec,category,detail,instrument
Target-697572,103.68495833333333,-52.32033333333334,MAGIC_Magellan,241229_MIKE,MIKE
Target-4775927771146196864,68.37912499999999,-55.81088888888888,MAGIC_Magellan,241229_MIKE,MIKE
Target-5293243525250093312,109.27620833333332,-60.31908333333334,MAGIC_Magellan,241229_MIKE,MIKE
Target-5490389769744376960,107.88149999999999,-55.22402777777778,MAGIC_Magellan,241229_MIKE,MIKE
Target-5491209253801516288,108.06229166666665,-54.374361111111114,MAGIC_Magellan,241229_MIKE,MIKE
TucII-501,347.44567834497093,-55.529548481909764,MAGIC_Magellan,250102_MagE,MagE
TucII-502,339.6416862996639,-58.18811458180615,MAGIC_Magellan,250102_MagE,MagE
CarII-505,113.58709573900653,-57.732340061549024,MAGIC_Magellan,250102_MagE,MagE
CarII-502,109.62667500997325,-57.644118030805515,MAGIC_Magellan,250102_MagE,MagE
CarII-507,114.09721188385551,-58.168578820741246,MAGIC_Magellan,250102_MagE,MagE
CarII-501,118.61162629526243,-55.75064853333174,MAGIC_Magellan,250102_MagE,MagE
PicII-503,100.99588440910102,-60.14028090602403,MAGIC_Magellan,250102_MagE,MagE
Sextans-10074058,154.80498169746417,-4.053881476468425,MAGIC_Magellan,250102_MagE,MagE
CenI-502,189.63314118125587,-41.54048947848661,MAGIC_Magellan,250102_MagE,MagE
Sextans-1561701,151.37945108765143,0.0714171639111322,MAGIC_Magellan,250102_MagE,MagE
Target-10915807,189.73929166666665,-41.61633333333334,MAGIC_Magellan,250225_MIKE,MIKE
Target-11348665,87.58208333333332,-63.73577777777778,MAGIC_Magellan,250225_MIKE,MIKE
Target-14747836,47.91966666666666,-63.31780555555556,MAGIC_Magellan,250225_MIKE,MIKE
Target-16712190,83.72599999999998,-65.32902777777777,MAGIC_Magellan,250225_MIKE,MIKE
Target-20578218,75.57849999999998,-61.377361111111114,MAGIC_Magellan,250225_MIKE,MIKE
